threshold,perplexity,summary_frac,tokens_per_sec,token_1_ppl,token_2_ppl,token_3_ppl,token_4_ppl,token_5_ppl,token_6_ppl,token_7_ppl,token_8_ppl,token_9_ppl,token_10_ppl,token_11_ppl,token_12_ppl,token_13_ppl,token_14_ppl,token_15_ppl,token_16_ppl,token_17_ppl,token_18_ppl,token_19_ppl,token_20_ppl,token_21_ppl,token_22_ppl,token_23_ppl,token_24_ppl,token_25_ppl,token_26_ppl,token_27_ppl,token_28_ppl,token_29_ppl,token_30_ppl,token_31_ppl,token_32_ppl,token_33_ppl,token_34_ppl,token_35_ppl,token_36_ppl,token_37_ppl,token_38_ppl,token_39_ppl,token_40_ppl,token_41_ppl,token_42_ppl,token_43_ppl,token_44_ppl,token_45_ppl,token_46_ppl,token_47_ppl,token_48_ppl,token_49_ppl,token_50_ppl,token_51_ppl,token_52_ppl,token_53_ppl,token_54_ppl,token_55_ppl,token_56_ppl,token_57_ppl,token_58_ppl,token_59_ppl,token_60_ppl,token_61_ppl,token_62_ppl,token_63_ppl,token_64_ppl,token_65_ppl,token_66_ppl,token_67_ppl,token_68_ppl,token_69_ppl,token_70_ppl,token_71_ppl,token_72_ppl,token_73_ppl,token_74_ppl,token_75_ppl,token_76_ppl,token_77_ppl,token_78_ppl,token_79_ppl,token_80_ppl,token_81_ppl,token_82_ppl,token_83_ppl,token_84_ppl,token_85_ppl,token_86_ppl,token_87_ppl,token_88_ppl,token_89_ppl,token_90_ppl,token_91_ppl,token_92_ppl,token_93_ppl,token_94_ppl,token_95_ppl,token_96_ppl,token_97_ppl,token_98_ppl,token_99_ppl,token_100_ppl,token_101_ppl,token_102_ppl,token_103_ppl,token_104_ppl,token_105_ppl,token_106_ppl,token_107_ppl,token_108_ppl,token_109_ppl,token_110_ppl,token_111_ppl,token_112_ppl,token_113_ppl,token_114_ppl,token_115_ppl,token_116_ppl,token_117_ppl,token_118_ppl,token_119_ppl,token_120_ppl,token_121_ppl,token_122_ppl,token_123_ppl,token_124_ppl,token_125_ppl,token_126_ppl,token_127_ppl,token_128_ppl
0.01,1458.0,0.014423076923076924,14.81856452202694,6.04296875,17.25,379.0,297.5,250.5,191.25,253.5,181.125,194.375,240.875,221.875,330.5,370.25,506.0,518.0,589.5,451.75,510.0,584.5,629.5,496.25,615.0,990.5,787.0,705.5,665.0,793.0,736.0,821.5,916.5,956.5,854.0,1038.0,1026.0,1051.0,1149.0,1118.0,1277.0,1408.0,1282.0,1223.0,1272.0,1307.0,1209.0,1312.0,1338.0,1214.0,1282.0,1333.0,1243.0,1323.0,1499.0,1640.0,1589.0,1534.0,1493.0,1408.0,1419.0,1397.0,1307.0,1344.0,1565.0,1659.0,1608.0,1559.0,1505.0,1596.0,1511.0,1476.0,1493.0,1517.0,1553.0,1534.0,1458.0,1453.0,1453.0,1559.0,1453.0,1505.0,1559.0,1464.0,1392.0,1370.0,1375.0,1333.0,1359.0,1333.0,1344.0,1292.0,1297.0,1238.0,1292.0,1307.0,1344.0,1262.0,1302.0,1312.0,1257.0,1209.0,1219.0,1267.0,1248.0,1323.0,1323.0,1386.0,1333.0,1333.0,1370.0,1344.0,1328.0,1354.0,1365.0,1381.0,1328.0,1375.0,1392.0,1403.0,1370.0,1419.0,1481.0,1470.0,1447.0,1453.0,1493.0,1464.0,1470.0,1499.0,1464.0
0.02,1794.0,0.07091346153846154,15.448893331706511,6.42578125,31.421875,543.0,665.0,498.25,323.0,414.5,288.25,299.75,376.0,339.75,473.5,543.0,691.5,753.5,844.0,644.5,716.5,837.5,898.5,705.5,920.0,1441.0,1101.0,990.5,909.0,1092.0,1010.5,1127.0,1277.0,1287.0,1123.0,1354.0,1307.0,1302.0,1470.0,1487.0,1659.0,1858.0,1712.0,1627.0,1725.0,1766.0,1653.0,1815.0,1880.0,1705.0,1815.0,1815.0,1659.0,1752.0,1978.0,2130.0,2090.0,2017.0,1910.0,1780.0,1808.0,1780.0,1659.0,1679.0,1955.0,2090.0,2009.0,1940.0,1887.0,1887.0,1773.0,1732.0,1732.0,1759.0,1794.0,1794.0,1679.0,1646.0,1646.0,1822.0,1698.0,1773.0,1851.0,1746.0,1653.0,1653.0,1666.0,1608.0,1646.0,1583.0,1602.0,1547.0,1571.0,1559.0,1633.0,1640.0,1659.0,1553.0,1621.0,1672.0,1589.0,1499.0,1511.0,1540.0,1511.0,1596.0,1627.0,1672.0,1602.0,1608.0,1666.0,1614.0,1608.0,1640.0,1659.0,1672.0,1621.0,1679.0,1705.0,1732.0,1692.0,1746.0,1815.0,1801.0,1773.0,1766.0,1837.0,1787.0,1822.0,1837.0,1787.0
0.05,2856.0,0.6063701923076923,16.156203870152456,6.6640625,49.90625,477.25,335.75,403.5,341.0,376.0,290.5,319.25,352.0,310.5,466.25,482.75,617.5,667.5,736.0,601.0,777.5,834.5,909.0,702.5,923.5,1470.0,1136.0,1006.5,927.0,1177.0,1092.0,1163.0,1243.0,1195.0,1055.0,1338.0,1323.0,1349.0,1458.0,1458.0,1614.0,1698.0,1559.0,1499.0,1565.0,1583.0,1481.0,1589.0,1633.0,1499.0,1589.0,1646.0,1517.0,1666.0,1844.0,1963.0,1986.0,2072.0,2250.0,2082.0,2148.0,2114.0,2025.0,2056.0,2510.0,2672.0,2662.0,2500.0,2452.0,2662.0,2520.0,2472.0,2530.0,2570.0,2580.0,2630.0,2432.0,2376.0,2462.0,2682.0,2472.0,2590.0,2682.0,2462.0,2304.0,2312.0,2376.0,2258.0,2286.0,2258.0,2386.0,2276.0,2330.0,2304.0,2414.0,2414.0,2432.0,2268.0,2358.0,2452.0,2322.0,2224.0,2286.0,2330.0,2294.0,2404.0,2452.0,2540.0,2414.0,2442.0,2520.0,2462.0,2404.0,2442.0,2472.0,2500.0,2424.0,2520.0,2550.0,2610.0,2510.0,2610.0,2694.0,2714.0,2694.0,2652.0,2756.0,2756.0,2834.0,2924.0,2856.0
0.1,5152.0,0.9158653846153846,16.72280219102652,30.265625,147.25,1349.0,608.0,569.0,349.25,368.75,251.5,231.625,281.75,329.25,549.5,934.5,1243.0,1307.0,1419.0,1223.0,1430.0,1553.0,1880.0,1746.0,2258.0,2746.0,2424.0,2330.0,2232.0,2652.0,2620.0,3004.0,3224.0,3198.0,2890.0,3458.0,3888.0,3980.0,4652.0,4728.0,5440.0,5792.0,5316.0,4952.0,5232.0,5272.0,4916.0,4876.0,4916.0,4404.0,4652.0,4916.0,4840.0,4688.0,5192.0,5152.0,4992.0,5032.0,5356.0,4952.0,5316.0,5316.0,4952.0,4952.0,5884.0,6164.0,5884.0,5440.0,5152.0,5612.0,5272.0,5232.0,5112.0,5316.0,5396.0,5612.0,5356.0,5272.0,5440.0,5884.0,5612.0,5744.0,6164.0,5836.0,5524.0,5524.0,5612.0,5440.0,5440.0,5316.0,5440.0,5152.0,5356.0,5232.0,5272.0,5356.0,5440.0,5152.0,5232.0,5272.0,5032.0,4800.0,4800.0,4992.0,4840.0,4916.0,5032.0,5232.0,4992.0,4992.0,5192.0,5072.0,4992.0,5032.0,5032.0,5232.0,4992.0,5072.0,5112.0,5232.0,5112.0,5112.0,5192.0,5072.0,4992.0,4876.0,5112.0,5152.0,5272.0,5396.0,5192.0
0.2,4916.0,0.9813701923076923,17.11597922478628,352.0,81.9375,968.0,733.5,649.5,395.75,438.0,266.75,235.375,277.25,342.5,510.0,857.5,968.0,1287.0,1523.0,1110.0,1158.0,1219.0,1534.0,1297.0,1505.0,1633.0,1365.0,1272.0,1190.0,1344.0,1200.0,1354.0,1571.0,1589.0,1349.0,1614.0,1705.0,1773.0,2106.0,2098.0,2368.0,2570.0,2368.0,2340.0,2404.0,2414.0,2294.0,2376.0,2452.0,2258.0,2424.0,2652.0,2490.0,2472.0,2672.0,2610.0,2630.0,2736.0,2970.0,2714.0,2878.0,2844.0,2768.0,2724.0,3352.0,3680.0,3828.0,3680.0,3596.0,3980.0,3710.0,3768.0,3738.0,3828.0,3950.0,4172.0,3918.0,3980.0,3918.0,4372.0,4042.0,4272.0,4544.0,4172.0,4042.0,4074.0,4372.0,4140.0,4172.0,4172.0,4272.0,4140.0,4140.0,4108.0,4204.0,4304.0,4440.0,4204.0,4304.0,4404.0,4140.0,3950.0,4012.0,4042.0,3950.0,4172.0,4204.0,4512.0,4272.0,4236.0,4512.0,4372.0,4372.0,4336.0,4304.0,4440.0,4336.0,4404.0,4404.0,4616.0,4476.0,4512.0,4728.0,4512.0,4476.0,4476.0,4728.0,4764.0,4876.0,4992.0,4840.0
0.5,7672.0,0.9993990384615384,17.52645769573889,266.75,2130.0,3100.0,2216.0,1719.0,964.0,1292.0,994.5,1022.0,1633.0,1209.0,1640.0,2064.0,2206.0,2672.0,3076.0,2570.0,2520.0,2900.0,3326.0,2946.0,3624.0,5112.0,4440.0,4042.0,3624.0,4372.0,3768.0,4074.0,4236.0,4440.0,3888.0,4876.0,5232.0,5192.0,6068.0,5836.0,6512.0,7208.0,6512.0,6260.0,5928.0,6412.0,6312.0,6512.0,6876.0,6164.0,6164.0,6824.0,6512.0,6612.0,7264.0,6772.0,6716.0,6564.0,7496.0,7096.0,7264.0,7264.0,6824.0,7040.0,8296.0,9328.0,9400.0,8560.0,8360.0,8832.0,8560.0,8488.0,8488.0,8560.0,8896.0,9328.0,8832.0,8832.0,8968.0,9624.0,8968.0,9184.0,9624.0,8968.0,8488.0,8624.0,9040.0,8560.0,8560.0,8424.0,8560.0,8104.0,8040.0,8040.0,8296.0,8296.0,8560.0,8040.0,8168.0,8168.0,7792.0,7320.0,7320.0,7496.0,7320.0,7552.0,7552.0,8104.0,7672.0,7732.0,8168.0,8040.0,7916.0,8040.0,8040.0,8168.0,7852.0,7916.0,7976.0,8168.0,7916.0,7852.0,8232.0,7916.0,7852.0,7732.0,8168.0,7976.0,7976.0,8040.0,7612.0
1.0,8896.0,1.0,23.014632770812312,inf,inf,inf,inf,inf,22544.0,13360.0,6716.0,5272.0,6876.0,5356.0,6460.0,6564.0,6664.0,6612.0,6164.0,4336.0,4272.0,4764.0,5232.0,4074.0,4764.0,5884.0,4764.0,4272.0,3652.0,4074.0,3680.0,4108.0,4512.0,4616.0,3710.0,4688.0,4764.0,4728.0,5192.0,5152.0,5612.0,6260.0,5792.0,5484.0,5928.0,6116.0,6020.0,6020.0,6512.0,6068.0,6460.0,7152.0,6360.0,6460.0,7264.0,7208.0,7096.0,7096.0,7672.0,6932.0,7496.0,7376.0,6876.0,7208.0,8424.0,9544.0,9696.0,9256.0,8896.0,9472.0,8760.0,8968.0,8760.0,9040.0,8896.0,9696.0,8696.0,8832.0,8832.0,9256.0,8488.0,8696.0,9256.0,8488.0,8168.0,8168.0,8560.0,7976.0,8104.0,8104.0,8424.0,8040.0,8168.0,8168.0,8296.0,8360.0,8560.0,7916.0,7916.0,8104.0,7552.0,7264.0,7320.0,7612.0,7320.0,7672.0,7732.0,8232.0,7732.0,7732.0,8040.0,8040.0,7976.0,8296.0,8296.0,8696.0,8488.0,8624.0,8560.0,8832.0,8360.0,8296.0,8760.0,8424.0,8296.0,8168.0,8560.0,8560.0,8624.0,8968.0,8760.0
baseline_raw,1338.0,0.0,59.88482779000506,5.8125,14.984375,346.5,257.5,224.5,168.875,246.625,173.5,181.875,226.25,209.25,315.5,364.5,482.75,482.75,547.0,431.25,481.0,560.0,601.0,473.5,610.5,998.5,780.5,691.5,655.0,799.0,748.0,812.0,902.0,927.0,821.5,1002.5,987.0,1010.5,1084.0,1059.0,1163.0,1297.0,1190.0,1136.0,1177.0,1209.0,1123.0,1214.0,1248.0,1145.0,1219.0,1257.0,1172.0,1262.0,1441.0,1602.0,1565.0,1523.0,1481.0,1392.0,1375.0,1359.0,1262.0,1267.0,1458.0,1540.0,1476.0,1430.0,1381.0,1441.0,1365.0,1349.0,1359.0,1403.0,1430.0,1392.0,1333.0,1323.0,1318.0,1414.0,1323.0,1359.0,1408.0,1328.0,1252.0,1228.0,1228.0,1186.0,1209.0,1190.0,1200.0,1154.0,1167.0,1140.0,1181.0,1195.0,1228.0,1149.0,1186.0,1195.0,1140.0,1101.0,1110.0,1140.0,1118.0,1172.0,1172.0,1223.0,1172.0,1177.0,1219.0,1190.0,1181.0,1204.0,1219.0,1243.0,1204.0,1248.0,1262.0,1277.0,1248.0,1297.0,1354.0,1359.0,1344.0,1354.0,1381.0,1338.0,1349.0,1354.0,1333.0
